Measure,Country,Sex,Age.Range,Cause,Metric,Year,Rate,GDP_ProCap_USD2010,UnemploymentRate,SuicCrime,Geo_Region,HeatDeaths,HeatWave,CivilWar,ViolentEvent,Unemployment_lag1year,Unemployment_lag2year,GDP_lag1year,GDP_lag2year,Income_2010
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1991,0.441877275,35316.53701,9.579000473,Not a Crime,East Asia & Pacific,0,Normal,No,No,,,,,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1992,0.460027204,35034.53266,10.72900009,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.579000473,,35316.53701,,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1993,0.489528721,36091.38898,10.8739996,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.72900009,9.579000473,35034.53266,35316.53701,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1994,0.523547918,37133.6484,9.718999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.8739996,10.72900009,36091.38898,35034.53266,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1995,0.526806415,38095.12953,8.468999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.718999863,10.8739996,37133.6484,36091.38898,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1996,0.618039967,39056.18102,8.505999565,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.468999863,9.718999863,38095.12953,37133.6484,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1997,0.58370875,40153.61225,8.362000465,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.505999565,8.468999863,39056.18102,38095.12953,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1998,0.538689562,41555.94435,7.676000118,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.362000465,8.505999565,40153.61225,39056.18102,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,1999,0.541861366,43168.29246,6.872000217,Not a Crime,East Asia & Pacific,0,Normal,No,No,7.676000118,8.362000465,41555.94435,40153.61225,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2000,0.490224292,44334.39293,6.282999992,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.872000217,7.676000118,43168.29246,41555.94435,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2001,0.461274045,44585.19852,6.742000103,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.282999992,6.872000217,44334.39293,43168.29246,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2002,0.480204468,45806.69447,6.368000031,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.742000103,6.282999992,44585.19852,44334.39293,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2003,0.490714786,46595.90092,5.928999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.368000031,6.742000103,45806.69447,44585.19852,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2004,0.442003033,47926.74866,5.394999981,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.928999901,6.368000031,46595.90092,45806.69447,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2005,0.396905271,48813.88776,5.032000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.394999981,5.928999901,47926.74866,46595.90092,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2006,0.402257738,49443.22553,4.782000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.032000065,5.394999981,48813.88776,47926.74866,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2007,0.490603171,51024.24113,4.376999855,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.782000065,5.032000065,49443.22553,48813.88776,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2008,0.470397111,51841.27303,4.234000206,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.376999855,4.782000065,51024.24113,49443.22553,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2009,0.520258249,51767.37784,5.56099987,Not a Crime,East Asia & Pacific,347,Heat Wave,No,No,4.234000206,4.376999855,51841.27303,51024.24113,High
