Country Name,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
闃块瞾宸?ABW,NY.GDP.PCAP.CD,,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062,
,AFE,NY.GDP.PCAP.CD,707.1203763,626.1691484,625.998815,809.9681394,981.7446305,1115.713956,1220.002468,1362.310651,1421.118612,1386.590206,1601.727748,1735.58514,1702.969258,1673.140476,1656.107642,1479.564123,1329.777824,1520.171298,1538.924188,1493.780445,1344.080962,1522.590088,1628.024526,1659.51529
闃垮瘜姹?AFG,NY.GDP.PCAP.CD,,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171,
,AFW,NY.GDP.PCAP.CD,516.9323163,530.6531673,616.7960331,694.5009386,834.8612909,989.6997388,1222.550498,1393.748487,1652.18985,1439.047803,1647.149847,1824.722827,1920.119912,2113.316986,2204.9957,1845.767804,1616.843198,1560.162999,1703.896392,1783.654365,1664.249176,1747.840549,1777.235012,1568.72431
瀹夊摜鎷?AGO,NY.GDP.PCAP.CD,,533.5862024,882.1478472,992.6989793,1266.210864,1916.468422,2617.05196,3141.04598,4103.0669,3136.64547,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2308.159767,
闃垮皵宸村凹浜?ALB,NY.GDP.PCAP.CD,,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134,
瀹夐亾灏斿叡鍜屽浗,AND,NY.GDP.PCAP.CD,21810.24874,23511.29515,26528.13016,34063.5784,39021.12781,40829.80188,43467.21099,48336.22833,49132.51571,43975.01837,42746.83095,46657.15612,41500.54358,42470.31612,44369.65969,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
闃挎媺浼仈鐩熷浗瀹?ARB,NY.GDP.PCAP.CD,,2536.711965,2483.107234,2696.672305,3133.736877,3750.508554,4355.087622,4940.702265,6091.932064,5134.450061,5928.30479,6883.374024,7336.197708,7311.296755,7259.936729,6203.702636,5957.059837,6005.390129,6576.516631,6525.211843,5648.341118,6445.807261,7658.40647,7292.210408,
闃挎媺浼仈鍚堥厠闀垮浗,ARE,NY.GDP.PCAP.CD,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,43696.67126,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59171,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
闃挎牴寤?ARG,NY.GDP.PCAP.CD,,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273,
浜氱編灏间簹,ARM,NY.GDP.PCAP.CD,593.4505817,659.5889885,742.6511183,882.0301677,1130.087914,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8053.010663
缇庡睘钀ㄦ懇浜?ASM,NY.GDP.PCAP.CD,,,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,,
