Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992
AFE,51.98698856,52.2122394,52.56278127,53.03630114,53.55188238,54.22294997,55.15771941,55.93783772,56.6807366,57.62151351,58.4103157,59.29331941,60.05152704,60.71002826,61.3388128,61.85685585,62.4446411,62.92481013,63.36703676,63.75475217,63.30979351,62.44909279,62.88846323
AFG,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879
AFW,50.19459481,50.53734603,50.89808607,51.37161407,51.7847675,52.30806344,52.79253688,53.20899842,53.59414538,54.11170772,54.50046583,54.96017175,55.28394049,55.61514033,55.86366481,56.13527478,56.51808555,56.82663415,57.12970739,57.50029484,57.18067072,56.94647481,57.58910643
AGO,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929
ALB,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833
ARB,67.14859466,67.48786771,67.79899226,67.7264644,67.76178998,68.03131069,68.44561526,68.80447718,69.14987017,69.66598991,69.86290765,70.09295008,70.03068135,70.06350949,70.36704165,70.64389168,70.84301911,71.32086973,71.48853851,71.68841844,70.79422343,70.65234704,71.07816994
ARE,74.38,74.636,74.901,76.222,76.453,76.683,76.909,77.129,77.488,78.003,78.334,78.517,78.716,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,78.71,79.196
ARG,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064
ARM,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372
ATG,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497,79.236
AUS,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2
AUT,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.09268293
AZE,64.891,65.51,66.239,66.756,67.346,67.562,68.165,68.603,68.811,69.356,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,69.366,73.488
BDI,47.514,48.431,49.891,50.857,52.01,53.023,53.869,54.727,55.71,56.388,57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553,61.688,62.351,61.566,61.663,61.977
BEL,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.69756098
BEN,56.578,56.66,56.606,56.738,56.826,57.125,57.456,57.675,57.869,57.956,58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088,59.821,59.954
BFA,50.847,51.071,51.272,51.793,52.416,53.092,53.742,54.375,55.342,55.959,56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731,59.27,59.766
BGD,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,73.698
BGR,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659,71.46341463,74.36097561
BHR,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,79.246
BHS,72.041,72.11,72.232,72.402,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,71.598,74.358
BIH,74.496,75.06,74.612,75.782,76.133,75.42,76.247,76.161,76.838,76.976,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225,75.3,75.293
BLR,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,72.45721951,72.37068293,73.11146341
BLZ,68.564,68.357,68.752,68.909,69.227,69.376,70.093,70.655,71.151,71.819,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,70.47,70.962
BMU,78.858,79.871,80.631,79.345,81.12,77.927,77.585,79.361,78.623,79.996,80.499,81.403,81.272,79.992,79.518,80.918,80.608,82.351,80.825,81.033,81.136,79.28,81.571
BOL,62.346,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63,64.928
BRA,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425
BRB,74.089,74.247,74.366,74.472,74.727,74.89,75.068,75.342,75.447,75.678,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,77.571,77.706
BRN,74.08,74.276,74.426,74.561,74.65,74.731,74.783,74.818,74.84,74.846,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795,74.642,74.551
BTN,62.01,63.444,64.078,64.696,65.268,65.805,66.362,66.954,67.499,67.897,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609,71.815,72.229
BWA,51.011,50.676,50.632,50.947,51.617,52.61,53.918,55.732,57.121,58.279,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647,61.141,65.913
CAF,45.406,45.393,45.409,45.76,46.038,46.433,46.851,47.426,48.016,48.648,49.255,49.948,50.686,50.902,50.566,52.793,53.46,53.721,54.369,55.025,54.604,53.895,54.477
CAN,79.16682927,79.39804878,79.53073171,79.71512195,79.99219512,80.11268293,80.54365854,80.54365854,80.72463415,81.06609756,81.32219512,81.48268293,81.66365854,81.74487805,81.78439024,81.81560976,81.92487805,81.83292683,81.84390244,82.22390244,81.6604878,81.58707317,81.29560976
CEB,72.71972472,73.09614819,73.24241549,73.38225278,73.73043493,73.84499514,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.9934242,76.355001,76.67533826,76.57152402,76.9691216,76.92764885,76.97576477,77.26553343,76.08020663,74.7920383,76.78573806
CHE,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854,83.90487805,83,83.75121951,83.45365854
CHI,79.155,79.277,78.906,79.618,80.125,80.344,80.694,81.166,81.317,80.995,81.12,81.726,81.339,81.516,81.884,81.433,81.366,81.331,81.375,81.39,81.264,81.232,81.583
CHL,76.87,76.773,77.445,77.387,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944,79.519
CHN,71.881,72.606,72.985,73.371,73.748,74.111,74.504,74.762,74.872,75.343,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077,78.211,78.587
CIV,50.842,50.81,50.886,50.954,51.363,51.824,52.355,52.97,53.653,54.394,55.023,55.52,56.158,56.748,57.208,57.762,58.06,58.48,58.849,59.319,59.032,58.598,58.916
CMR,52.932,53.142,53.415,53.883,54.178,54.362,54.856,55.165,55.655,56.102,56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81,61.18,61.584,60.833,60.333,60.958
COD,51.781,52.116,52.333,52.827,53.426,53.927,54.534,54.923,55.339,55.836,56.417,57.069,57.248,57.762,58.296,58.49,59.066,59.411,59.942,60.276,59.739,59.193,59.743
COG,53.682,54.395,55.088,55.948,56.986,58.126,58.878,59.643,60.426,61.088,61.683,61.992,62.317,62.695,62.95,63.233,63.577,63.76,64.053,62.747,63.785,63.519,63.053
COL,71.32,71.502,71.939,72.361,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,76.752,74.769,72.83,73.659
COM,58.757,59.163,59.056,59.258,59.48,59.604,59.875,60.102,60.475,60.831,61.123,61.503,61.834,62.224,62.516,62.896,63.237,63.625,63.912,64.068,64.166,63.417,63.68
CPV,68.618,69.929,70.705,71.429,71.999,72.68,72.239,72.835,72.508,73.088,73.499,74.257,74.484,75.059,75.24,74.62,75.742,76.593,75.733,76.004,74.808,74.052,74.722
CRI,77.586,77.545,77.983,78.072,78.331,78.505,78.514,78.462,78.445,78.672,78.67,79.348,79.283,79.403,78.774,79.086,79.459,79.377,79.484,79.427,79.277,77.023,77.32
CSS,68.52943333,68.67232986,68.79524782,68.82698278,69.17036542,69.51518524,69.93325489,70.33473023,70.60712109,70.90500024,71.08359128,71.19074884,71.34165912,71.43611221,71.62302567,71.86747336,72.20715518,72.4332462,72.69457605,72.35923071,72.3087596,70.44500181,70.98402478
CUB,76.183,76.421,76.612,76.773,76.912,77.047,77.179,77.307,77.429,77.548,77.661,77.76,77.833,77.87,77.853,77.772,77.643,77.529,77.496,77.611,77.567,73.683,78.155
CUW,73.03395122,73.1107561,73.21153659,73.3535122,73.42892683,73.56570732,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317,,,,,
CYP,76.568,76.989,77.487,77.788,77.944,78.101,78.371,78.81,78.981,79.401,79.665,79.999,80.109,80.402,80.771,80.966,81.056,81.328,81.382,81.397,81.391,81.203,81.889
CZE,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829,78.17560976,77.22195122,79.02926829
DEU,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.70560976
DJI,56.573,56.903,57.215,57.595,57.759,58.316,58.715,59.024,59.365,59.673,60.259,60.433,60.848,61.221,61.641,61.957,62.191,62.797,63.038,63.085,62.694,62.305,62.859
DMA,72.693,71.713,72.34,71.438,72.401,72.254,72.848,71.93,73.305,72.17,71.55,69.695,70.538,68.896,69.434,68.727,70.128,67.525,73.59,73.559,73.649,72.814,72.981
DNK,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902,81.40487805,81.30487805
DOM,69.423,69.642,69.923,70.265,70.331,70.875,71.165,71.371,71.658,71.871,72.093,72.221,72.514,72.713,72.867,72.953,72.987,73.063,73.232,73.577,72.889,72.615,74.17
DZA,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,77.129
EAP,70.55580373,71.14385755,71.49077613,71.9405074,72.01695943,72.54739959,72.89886245,73.14220661,73.09226061,73.64240041,73.86837244,74.13831475,74.38617383,74.63415164,74.89245781,75.11191197,75.31096517,75.37579264,75.79141602,75.99267309,75.92609751,75.5328901,76.16769681
EAR,64.4993929,64.81634226,65.2219575,65.51752437,65.73923373,66.18648497,66.58526329,66.87445877,67.06888942,67.51460866,67.85096639,68.27591159,68.65737267,69.05082042,69.46863523,69.85366623,70.19835966,70.51802535,70.768483,70.98565035,70.001773,68.43440664,69.2787026
