Region/Country/Area,Year,Series,Value
Afghanistan,2010,"Intentional homicide rates per 100,000",3.5
Afghanistan,2015,"Intentional homicide rates per 100,000",10.0
Afghanistan,2019,"Intentional homicide rates per 100,000",7.2
Afghanistan,2019,"Percentage of male and female intentional homicide victims, Female",1.3
Afghanistan,2021,"Intentional homicide rates per 100,000",4.0
Africa,2005,"Intentional homicide rates per 100,000",12.7
Africa,2005,"Percentage of male and female intentional homicide victims, Male",20.9
Africa,2005,"Percentage of male and female intentional homicide victims, Female",4.6
Africa,2010,"Intentional homicide rates per 100,000",12.2
Africa,2010,"Percentage of male and female intentional homicide victims, Male",19.9
Africa,2010,"Percentage of male and female intentional homicide victims, Female",4.6
Africa,2015,"Intentional homicide rates per 100,000",12.4
Africa,2015,"Percentage of male and female intentional homicide victims, Male",20.2
Africa,2015,"Percentage of male and female intentional homicide victims, Female",4.6
Africa,2022,"Intentional homicide rates per 100,000",12.9
Africa,2022,"Percentage of male and female intentional homicide victims, Male",21.0
Africa,2022,"Percentage of male and female intentional homicide victims, Female",4.8
Albania,2005,"Intentional homicide rates per 100,000",5.1
Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.8
Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4
Albania,2005,"Assault rate per 100,000 population",5.4
Albania,2005,"Theft at the national level, rate per 100,000 population",98.5
Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9
Albania,2010,"Intentional homicide rates per 100,000",4.1
Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.4
Albania,2010,"Percentage of male and female intentional homicide victims, Female",0.8
Albania,2010,"Assault rate per 100,000 population",6.1
Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3
Albania,2010,"Theft at the national level, rate per 100,000 population",136.5
Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7
Albania,2015,"Intentional homicide rates per 100,000",2.2
Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.3
Albania,2015,"Percentage of male and female intentional homicide victims, Female",1.1
Albania,2015,"Assault rate per 100,000 population",5.9
Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3
Albania,2015,"Theft at the national level, rate per 100,000 population",243.3
Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.2
Albania,2022,"Intentional homicide rates per 100,000",1.7
Albania,2022,"Percentage of male and female intentional homicide victims, Male",3.2
Albania,2022,"Percentage of male and female intentional homicide victims, Female",0.1
Albania,2022,"Assault rate per 100,000 population",5.4
Albania,2022,"Kidnapping at the national level, rate per 100,000",0.1
Albania,2022,"Theft at the national level, rate per 100,000 population",86.5
Albania,2022,"Total Sexual Violence at the national level, rate per 100,000",5.9
Algeria,2005,"Assault rate per 100,000 population",99.9
Algeria,2005,"Kidnapping at the national level, rate per 100,000",0.3
Algeria,2010,"Intentional homicide rates per 100,000",0.7
Algeria,2010,"Assault rate per 100,000 population",115.4
Algeria,2010,"Kidnapping at the national level, rate per 100,000",0.5
Algeria,2010,"Theft at the national level, rate per 100,000 population",142.4
Algeria,2010,"Total Sexual Violence at the national level, rate per 100,000",10.6
Algeria,2015,"Intentional homicide rates per 100,000",1.4
Algeria,2015,"Percentage of male and female intentional homicide victims, Male",2.4
Algeria,2015,"Percentage of male and female intentional homicide victims, Female",0.4
Algeria,2015,"Assault rate per 100,000 population",124.1
Algeria,2015,"Kidnapping at the national level, rate per 100,000",1.3
Algeria,2015,"Theft at the national level, rate per 100,000 population",125.4
Algeria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.5
Algeria,2022,"Intentional homicide rates per 100,000",1.8
Algeria,2022,"Percentage of male and female intentional homicide victims, Male",3.0
Algeria,2022,"Percentage of male and female intentional homicide victims, Female",0.5
Algeria,2022,"Assault rate per 100,000 population",39.1
Algeria,2022,"Kidnapping at the national level, rate per 100,000",0.5
Algeria,2022,"Total Sexual Violence at the national level, rate per 100,000",3.5
American Samoa,2005,"Intentional homicide rates per 100,000",10.5
American Samoa,2010,"Intentional homicide rates per 100,000",9.1
American Samoa,2015,"Intentional homicide rates per 100,000",7.8
American Samoa,2019,"Intentional homicide rates per 100,000",0.0
American Samoa,2019,"Percentage of male and female intentional homicide victims, Male",0.0
American Samoa,2019,"Percentage of male and female intentional homicide victims, Female",0.0
Americas,2005,"Intentional homicide rates per 100,000",14.8
Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.7
Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2
Americas,2010,"Intentional homicide rates per 100,000",16.6
Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.2
Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4
Americas,2015,"Intentional homicide rates per 100,000",16.0
Americas,2015,"Percentage of male and female intentional homicide victims, Male",29.0
Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3
Americas,2022,"Intentional homicide rates per 100,000",14.6
Americas,2022,"Percentage of male and female intentional homicide victims, Male",26.2
Americas,2022,"Percentage of male and female intentional homicide victims, Female",3.3
Andorra,2004,"Intentional homicide rates per 100,000",1.3
Andorra,2010,"Intentional homicide rates per 100,000",0.0
Andorra,2010,"Percentage of male and female intentional homicide victims, Male",0.0
Andorra,2010,"Percentage of male and female intentional homicide victims, Female",0.0
Andorra,2010,"Assault rate per 100,000 population",137.0
Andorra,2010,"Kidnapping at the national level, rate per 100,000",0.0
Andorra,2010,"Theft at the national level, rate per 100,000 population","1,561.8"
Andorra,2010,"Total Sexual Violence at the national level, rate per 100,000",14.0
Andorra,2015,"Intentional homicide rates per 100,000",0.0
Andorra,2015,"Percentage of male and female intentional homicide victims, Male",0.0
Andorra,2015,"Percentage of male and female intentional homicide victims, Female",0.0
Andorra,2015,"Assault rate per 100,000 population",185.4
Andorra,2015,"Kidnapping at the national level, rate per 100,000",0.0
Andorra,2015,"Theft at the national level, rate per 100,000 population","1,457.9"
Andorra,2015,"Total Sexual Violence at the national level, rate per 100,000",15.3
Andorra,2019,"Assault rate per 100,000 population",327.5
Andorra,2019,"Kidnapping at the national level, rate per 100,000",0.0
Andorra,2019,"Total Sexual Violence at the national level, rate per 100,000",49.8
Andorra,2020,"Intentional homicide rates per 100,000",2.6
Andorra,2020,"Percentage of male and female intentional homicide victims, Male",5.0
Angola,2015,"Intentional homicide rates per 100,000",4.5
Angola,2016,"Intentional homicide rates per 100,000",4.1
Anguilla,2000,"Intentional homicide rates per 100,000",9.1
Anguilla,2000,"Percentage of male and female intentional homicide victims, Male",18.4
Anguilla,2000,"Percentage of male and female intentional homicide victims, Female",0.0
Anguilla,2005,"Intentional homicide rates per 100,000",0.0
Anguilla,2009,"Intentional homicide rates per 100,000",7.7
Anguilla,2009,"Percentage of male and female intentional homicide victims, Male",15.7
Anguilla,2009,"Percentage of male and female intentional homicide victims, Female",0.0
Anguilla,2010,"Intentional homicide rates per 100,000",0.0
Anguilla,2013,"Intentional homicide rates per 100,000",7.3
Anguilla,2013,"Percentage of male and female intentional homicide victims, Male",14.9
Anguilla,2013,"Percentage of male and female intentional homicide victims, Female",0.0
Anguilla,2014,"Intentional homicide rates per 100,000",28.3
Antigua and Barbuda,2002,"Intentional homicide rates per 100,000",6.5
Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Male",10.3
Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Female",3.1
Antigua and Barbuda,2005,"Intentional homicide rates per 100,000",3.8
Antigua and Barbuda,2008,"Intentional homicide rates per 100,000",19.2
Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Male",27.9
Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Female",11.4
Antigua and Barbuda,2010,"Intentional homicide rates per 100,000",7.0
Antigua and Barbuda,2012,"Intentional homicide rates per 100,000",11.4
Antigua and Barbuda,2015,"Percentage of male and female intentional homicide victims, Male",9.3
Antigua and Barbuda,2015,"Percentage of male and female intentional homicide victims, Female",2.1
Antigua and Barbuda,2015,"Assault rate per 100,000 population",7.8
Antigua and Barbuda,2015,"Kidnapping at the national level, rate per 100,000",4.4
Antigua and Barbuda,2015,"Theft at the national level, rate per 100,000 population","1,350.9"
Antigua and Barbuda,2015,"Total Sexual Violence at the national level, rate per 100,000",78.9
Antigua and Barbuda,2022,"Intentional homicide rates per 100,000",10.7
Antigua and Barbuda,2022,"Percentage of male and female intentional homicide victims, Male",20.1
Antigua and Barbuda,2022,"Percentage of male and female intentional homicide victims, Female",2.0
Antigua and Barbuda,2022,"Assault rate per 100,000 population",3.2
Antigua and Barbuda,2022,"Kidnapping at the national level, rate per 100,000",1.1
Antigua and Barbuda,2022,"Theft at the national level, rate per 100,000 population","1,066.5"
Antigua and Barbuda,2022,"Total Sexual Violence at the national level, rate per 100,000",88.5
Argentina,2005,"Intentional homicide rates per 100,000",5.6
Argentina,2005,"Assault rate per 100,000 population",363.7
Argentina,2005,"Theft at the national level, rate per 100,000 population",777.2
Argentina,2008,"Intentional homicide rates per 100,000",5.9
Argentina,2008,"Assault rate per 100,000 population",360.6
Argentina,2008,"Theft at the national level, rate per 100,000 population",705.7
Argentina,2008,"Total Sexual Violence at the national level, rate per 100,000",26.3
Argentina,2010,"Intentional homicide rates per 100,000",5.8
Argentina,2015,"Intentional homicide rates per 100,000",6.6
Argentina,2015,"Percentage of male and female intentional homicide victims, Male",11.4
Argentina,2015,"Percentage of male and female intentional homicide victims, Female",1.8
Argentina,2015,"Assault rate per 100,000 population",419.2
Argentina,2015,"Theft at the national level, rate per 100,000 population",628.6
Argentina,2015,"Total Sexual Violence at the national level, rate per 100,000",37.3
Argentina,2022,"Intentional homicide rates per 100,000",4.3
Argentina,2022,"Percentage of male and female intentional homicide victims, Male",7.2
Argentina,2022,"Percentage of male and female intentional homicide victims, Female",1.5
Argentina,2022,"Assault rate per 100,000 population",366.9
Argentina,2022,"Kidnapping at the national level, rate per 100,000",0.1
Argentina,2022,"Theft at the national level, rate per 100,000 population",684.9
Argentina,2022,"Total Sexual Violence at the national level, rate per 100,000",86.2
Armenia,2005,"Intentional homicide rates per 100,000",1.9
Armenia,2005,"Percentage of male and female intentional homicide victims, Male",3.3
Armenia,2005,"Percentage of male and female intentional homicide victims, Female",0.7
Armenia,2005,"Assault rate per 100,000 population",5.9
Armenia,2005,"Kidnapping at the national level, rate per 100,000",0.7
Armenia,2005,"Theft at the national level, rate per 100,000 population",80.8
Armenia,2005,"Total Sexual Violence at the national level, rate per 100,000",1.7
Armenia,2010,"Intentional homicide rates per 100,000",1.9
Armenia,2010,"Percentage of male and female intentional homicide victims, Male",3.4
Armenia,2010,"Percentage of male and female intentional homicide victims, Female",0.6
Armenia,2010,"Assault rate per 100,000 population",5.3
Armenia,2010,"Kidnapping at the national level, rate per 100,000",1.3
Armenia,2010,"Theft at the national level, rate per 100,000 population",124.4
Armenia,2010,"Total Sexual Violence at the national level, rate per 100,000",2.8
Armenia,2015,"Intentional homicide rates per 100,000",2.6
Armenia,2015,"Percentage of male and female intentional homicide victims, Male",4.1
Armenia,2015,"Percentage of male and female intentional homicide victims, Female",1.3
Armenia,2015,"Assault rate per 100,000 population",5.7
Armenia,2015,"Kidnapping at the national level, rate per 100,000",2.0
Armenia,2015,"Theft at the national level, rate per 100,000 population",186.4
Armenia,2015,"Total Sexual Violence at the national level, rate per 100,000",4.2
Armenia,2018,"Intentional homicide rates per 100,000",1.8
Armenia,2018,"Percentage of male and female intentional homicide victims, Male",3.0
Armenia,2018,"Percentage of male and female intentional homicide victims, Female",0.7
Armenia,2018,"Assault rate per 100,000 population",6.3
Armenia,2018,"Kidnapping at the national level, rate per 100,000",1.9
Armenia,2018,"Theft at the national level, rate per 100,000 population",250.2
Armenia,2018,"Total Sexual Violence at the national level, rate per 100,000",3.0
Armenia,2019,"Intentional homicide rates per 100,000",2.6
Armenia,2019,"Percentage of male and female intentional homicide victims, Male",4.9
