Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,0.89142376,7.28044462,5.53527164,5.31934786,4.6865387,5.65336657,6.12099695,5.41736698,5.47462463,5.60622549,4.34189463,5.03476191,4.96025801,5.1722393,5.0778451,5.09581852,3.88780427,3.35139465,7.63642311,3.30272126
Africa Eastern and Southern,35.296949932587,34.6750227895506,35.1282971672599,38.5803857153162,38.0795044742378,38.1409298049982,41.3835380875444,42.1651733604971,41.8159122482859,43.5873286320274,44.0891289443886,44.2714622598099,44.5863613517271,42.9159184577555,45.5487032882799,44.9671993305096,44.7988974992713,46.6415896500553,47.1550252840599,47.3759539022704,50.1384478561638,49.9810773793456
Africa Western and Central,19.4350123126786,24.1015550769036,20.8486222693887,20.2168124187296,24.4378346850147,25.3900645290658,23.1428061588691,22.388231714128,21.3888013393733,20.85784749,20.1341431156643,20.9431478122333,21.4609936582536,20.0729890665427,18.1749718911692,19.5609481160276,18.9414681223815,20.6007019603073,22.6645225973145,23.9143698512051,24.8963128472088,22.7925950147724
Albania,46.53004456,46.46232605,45.69914627,45.17244339,47.86219788,46.90119171,46.825634,46.37696075,41.75899887,40.48228073,38.14058685,38.78395081,39.87333298,41.02802277,40.30805969,41.88941574,42.82014847,42.17532349,43.10668945,42.68024826,39.84601212,39.68720245
Algeria,71.96343231,76.22702026,75.27867126,76.69419861,71.35350037,69.29087067,68.46268463,69.78764343,71.99542236,70.88406372,69.48218536,70.61742401,72.92947388,71.04824829,72.0083847,70.39454651,67.59703827,66.75434113,66.95326233,62.88612747,60.99265671,59.1096344
Andorra,65.52404785,65.17178345,66.3105011,64.0565567,62.08620071,64.26092529,59.9493103,59.70595169,65.11995697,67.77296448,73.94714355,73.58339691,69.46752167,70.15290833,71.04316711,71.93789673,71.94244385,71.93823242,70.74626923,71.31783295,72.61690521,74.00547791
Angola,58.20957184,45.64084625,39.30446243,41.30799866,42.51447678,44.83417511,53.77399445,57.8937912,64.35443115,67.67429352,62.1162796,64.75705719,65.25454712,62.02980042,54.15326309,47.36523056,44.13825607,46.27865219,42.64184952,45.39341736,52.79491425,57.80676651
Antigua and Barbuda,57.84612274,59.07860184,58.43793869,59.90863037,58.03319931,55.622612,52.95463562,51.33233261,50.76409912,54.89453506,58.31644821,56.94827652,56.29526138,56.08193588,59.15979004,59.78766251,55.84991074,56.1620903,60.07439423,58.43976212,62.28354263,67.11636353
Arab World,54.8112473250426,57.0025489192724,56.1205573434109,56.4537258647466,56.1820860672967,56.9080519313903,57.9806146834384,57.4223512642965,57.5725301915044,59.89132772,58.3147041287989,60.3995307986365,59.0878585322837,59.7322796379514,60.9273171401859,58.476838376685,62.0450972119988,60.2908818868671,59.9509608072971,60.3633539311736,63.5956413990474,63.5348827566739
Argentina,54.7317009,54.85204315,54.55613327,54.7124176,51.79897308,51.41910553,52.60231018,54.30963898,55.09854126,59.96014023,58.95255661,60.32122803,62.42686844,63.59713364,65.42355347,66.71373749,65.39312744,64.46273041,58.59922409,60.5684967,63.98451233,63.20693588
Armenia,22.75,28.82,15.39,16.8,21.37,25.22,27.12,29.35,22.41,21.46,18.26,17.84,17.28,13.33,14.79,15.91,16.45,13.24,12.34,12.41,19.25,17.76
Australia,71.8363266,71.10848236,71.93769073,71.34125519,71.68710327,71.83748627,71.66631317,72.90619659,72.32991791,73.01054382,72.35727692,73.26029968,71.23465729,67.7279892,70.11465454,71.02825928,71.10353088,71.25540161,71.47225952,73.73882294,73.68083191,76.03939819
Austria,74.16,73.65,73.44,73.14,72.05,72.65,72.85,72.8,73.79,72.85,72.4,72.69,72.87,72.17,72.52,72.46,72.36,73.81,74.47,74.88,76.74,78.25
Azerbaijan,29.4,29.02,27.06,28.37,32.3,39.95,41.91,45.62,42.24,40.99,38.3,36.6,35.34,33.06,31.51,30.07,26.35,24.66,23.16,25.57,39.81,31.62
"Bahamas, The",39.57865143,39.90871811,39.59148026,40.5092392,39.83108521,39.37672424,38.45758057,40.04133224,42.86846161,45.57728958,45.0781517,44.60906219,43.49754715,45.6301384,44.95140839,44.35314178,48.50737381,55.15454483,49.60044098,51.77562714,60.63474274,55.7627449
Bahrain,71.09094238,71.68608856,71.25164032,65.96888733,67.33620453,69.87419128,69.40020752,64.25352478,65.20483398,66.15504456,65.20017242,65.33170319,65.34840393,65.18132782,64.98168182,65.0187912,61.36575699,56.88352966,58.83235168,58.27348709,62.96072769,65.90466309
Bangladesh,28.16659737,21.66823196,24.30713272,24.61206818,24.06328011,21.87779617,22.7309761,22.48718262,20.9189682,19.93485069,20.56865692,20.40087318,19.95433998,19.04660416,18.51753426,17.09586334,19.90324593,21.22780418,20.96880913,19.79063225,18.04669762,16.88323593
Barbados,51.85347748,53.28871536,53.51586914,56.28888702,59.36916351,57.23897552,56.26896667,54.46463013,55.32674408,54.57361984,53.42999268,48.47716522,55.33291626,51.42475891,47.12921143,46.76980209,46.03868103,45.05372238,45.48931885,44.87979507,49.38734436,54.13328552
Belarus,78.67,74.62,72.53,75.99,76.69,74.5,71.47,70.19,65.78,64.56,68.04,63.36,65.65,62.66,62.6,60.78,70.94,69.11,70.56,70.38,70.88,74.23
Belgium,74.53091431,75.3321228,73.72327423,74.11693573,74.99698639,74.80131531,74.58599854,74.18357849,75.74918365,76.30044556,76.24723816,76.18171692,76.45965576,75.98609924,76.12174225,76.38321686,76.77429962,76.72920227,76.6003418,75.22897339,77.90409851,77.59567261
Belize,46.322155,50.9503212,51.37641907,49.60425949,50.01566315,51.88076019,55.63838959,58.60835266,64.56129456,64.2539978,66.5559845,65.95288849,65.91529846,66.04079437,62.17969513,67.60857391,69.7363205,69.07136536,68.39220428,68.36689758,70.58061981,68.80960083
Benin,38.58332062,37.37374115,31.3320179,33.95888138,35.9318428,33.147789,32.88233948,32.93758774,28.00041389,30.04043388,24.99409103,21.7378273,24.28330421,26.65324402,21.37865829,21.65677261,16.83768272,17.07419395,15.56364155,12.41332245,11.17483139,12.31288528
Bhutan,79.66617584,70.69815063,72.40852356,69.16651917,66.05213928,63.90855789,55.8853302,64.55661011,69.12611389,73.8507843,72.05212402,73.41854095,69.57640839,68.88393402,69.01010132,74.25157928,73.95302582,74.51843262,79.54950714,73.56784821,78.00773621,57.42987823
Bolivia,55.32917404,54.17406845,53.14351654,53.00777054,52.13727188,54.26984787,56.02086639,59.09320831,58.65034485,61.03663254,58.76804352,58.39107895,57.03056335,58.52252579,62.62419128,65.74084473,64.82120514,68.52770996,72.65296936,71.08983612,72.32567596,72.08840942
Bosnia and Herzegovina,51.06,57.02,59.7,66.13,56.96,54.58,54.56,55.33,55.68,68.03,68.07,67.67,68.65,69.71,70.37,69.22,70.9,70.13,69.87,68.72,69.6,68.3
Botswana,53.27193832,55.06237793,56.46030807,56.1771431,56.38233566,54.43471146,57.24171066,56.68532562,62.19720078,51.50703812,57.55473709,61.41548538,64.50315094,63.92881393,67.85910797,67.75788116,66.52246857,75.6595993,68.58382416,71.43073273,73.34910583,76.45542908
Brazil,41.63555527,41.08930588,42.38710403,42.85684204,42.67027283,41.63145828,42.92739105,42.48596954,43.74353027,44.16326523,45.02125168,44.49915695,43.36180878,44.51945496,44.05274582,43.25646591,43.06282425,41.73838425,41.09182358,40.74077988,44.47936249,45.5424614
Brunei Darussalam,84.16868591,83.19325256,83.58944702,82.9486618,83.09052277,83.66603851,85.31147003,87.21500397,89.89176178,90.50059509,91.73864746,91.52812958,91.14807129,90.5925827,92.66539764,95.02642059,95.02018738,94.58857727,95.14164734,94.40737915,94.04619598,93.25301361
Bulgaria,59.56,56.07,59.34,60.72,59.43,59.57,55.67,55.75,55.39,53.8,55.24,54.13,50.8,56.56,58.24,55.9,55.13,54.93,57.64,59.16,59.84,62.83
Burkina Faso,32.58329773,33.63924408,35.60902405,31.18563652,40.3057785,30.94970894,31.69763947,27.36342812,29.28507042,32.30834961,24.93154144,28.9587841,23.12789345,28.98208809,32.53527451,28.37508011,40.0837326,43.30178452,42.50740814,41.813591,43.45897293,42.81739426
Burundi,34.70241928,29.78705215,28.70185471,25.70115089,33.37493134,27.28089142,27.13311958,26.82294464,20.14006805,22.53801346,17.59703827,34.46959686,30.9056015,17.85822868,38.64748383,38.46514511,31.66303062,28.96152306,28.20852852,25.13971901,20.14390373,24.47496986
Cabo Verde,71.29876709,73.01193237,72.79753113,73.35092926,71.35682678,69.10211945,66.25391388,71.06494141,68.44342804,71.54019928,63.25498581,66.54673767,59.89725494,57.76818085,57.13072205,65.81131744,63.56476593,62.27895355,61.79946136,63.48986435,65.40019989,68.27948761
Cambodia,19.77445984,16.91773224,19.38790131,21.41247177,19.39651108,17.83416748,15.69289398,19.81499672,15.53217125,16.06786346,19.73364639,17.05396461,19.37299538,19.98289299,18.49970436,21.70782852,21.80688286,26.51512527,26.89064026,24.30771637,26.86214638,26.58197021
Cameroon,15.6870079,20.08517838,22.14606094,21.97872734,18.92535973,17.28415108,17.34461594,15.34088612,15.0534153,12.80033684,11.35888386,14.87105846,16.28297806,13.22959232,15.57094765,10.12047958,10.18234348,4.1562047,9.70626259,11.1423645,16.08671188,12.67195225
Canada,72.85163879,72.80158234,72.43798828,73.13981628,73.06193542,73.03554535,69.435112,69.59056091,69.75370789,70.19909668,69.88223267,70.22858429,70.50048065,70.90926361,70.74804688,70.84063721,69.84086609,69.61568451,69.68502808,69.51062775,73.69656372,72.91928101
Caribbean small states,45.8923042801338,46.3129394260072,46.2682038872962,46.9157467884941,47.901847056224,46.8275368696901,45.5780558687401,45.5279609352634,46.4422273400989,48.1634910808135,47.4863452635153,46.5624820413399,48.0889150462766,48.1219390317636,47.6406044561373,50.0478609074517,52.3892126297331,54.7317398548456,54.1590177999841,55.9014214520585,60.1378874011415,58.158210380442
Central African Republic,40.23814774,38.34230804,33.9276619,35.0844841,34.25291443,23.70519447,27.62939644,26.93767166,20.7186718,15.19034481,16.17175674,11.30035496,15.89074802,20.62112236,15.57443905,9.05484867,11.0127058,10.93435097,6.26232672,10.55165577,13.59413528,13.94029903
Central Europe and the Baltics,73.7558299140905,73.6595499877256,74.2137522512928,74.4696488883973,72.6558903916597,73.3198044549663,73.1414503670079,73.0694536055863,73.667651722404,73.7622657295674,73.9023014278608,73.1107857796437,72.227124686449,73.1152706138588,73.3551862066219,72.979104936295,72.7969350162775,72.906683650767,74.3709563187719,74.4960169965662,75.8693708258886,75.5971082249313
Chad,38.03084946,34.86683273,28.84228706,31.53384018,34.87210464,29.53806877,20.45419693,23.54964256,19.59093285,20.85106277,20.98161697,21.09589958,24.55139542,28.24672318,28.53781509,21.26423645,17.37352562,14.97930717,14.23211384,15.21876431,16.75219917,17.29240417
Chile,35.79472351,36.36408615,37.54184723,38.24768829,39.46642303,39.34249496,41.34890747,42.25885391,43.52520752,46.86124802,47.10449982,47.15742111,47.93560791,47.6493454,47.73588562,48.01672745,49.65286255,50.39948273,50.82174683,50.91718674,56.28879929,55.62454224
China,21.97528839,22.91764259,25.38583565,28.37373734,30.2440052,32.75773621,35.13990021,39.02609253,44.5223999,49.39831543,51.90623093,53.72208786,55.7352562,57.05029297,58.4154892,60.1810112,58.1014328,56.67334747,56.41641998,55.97903824,54.72392273,54.06824493
Colombia,74.53343964,75.05117798,76.18750763,77.37968445,73.53205109,71.82027435,72.08561707,70.65239716,69.36102295,72.05204773,72.2251358,73.49957275,69.86154175,69.85743713,70.40434265,70.83104706,70.32949066,71.04096222,71.61445618,69.87634277,71.28707886,72.59104156
Comoros,11.87418842,8.03524208,14.32437801,12.8185358,12.02579403,11.32237816,11.18358898,10.44716454,8.54952526,7.69386292,7.54602146,18.04415131,15.37328148,12.92933369,10.59300518,10.13119793,12.3370924,12.82911968,15.61307907,16.06903648,22.04185104,14.77834415
