Country Name,Country Code,country_life,per_GDP,population,Health_Expenditure,health_spending,crime_rate,UHC_index,PM2.5,Gini,Poor_people,Lose_job,education,sucide
Afghanistan,AFG,62.575,510.7870634,39068979,15.53361416,7.63642311,6.594439084,41,17.700029999999998,35.2,54.5,11.71,10.8584404,5.96
Angola,AGO,62.261,1449.922867,33451132,3.22070646,52.79491425,6.542876080391305,37,27.16477,51.3,32.3,14.124,9.910849571,12.55
Albania,ALB,76.989,5370.778623,2837849,7.51920271,39.84601212,2.127772012,64,16.27997,29.4,22,11.639,61.58530045,3.72
United Arab Emirates,ARE,78.946,37173.87541,9401038,5.82477045,60.98609543,0.699881311,82,41.7495,26.4,21.9,4.294,55.75405121,5.24
Argentina,ARG,75.892,8535.59938,45191965,10.34701538,63.98451233,5.366813844,79,12.04087,42.7,42,11.461,99.26622772,8.14
Armenia,ARM,72.173,4268.680933,2961500,12.24,19.25,1.85343037,68,34.12674,25.1,27,8.055,53.30612946,2.66
Antigua And Barbuda,ATG,78.841,15360.45442,91846,5.92146206,62.28354263,9.712509713,76,8.29693,35.2,21.9,8.78,24.9304409,0.32
Australia,AUS,83.2,51791.54018,25649248,10.6837368,73.68083191,0.860925459,87,8.93323,34.3,21.9,6.394,110.1392212,11.25
Austria,AUT,81.19268293,48716.40989,8916864,11.39,76.74,0.729699453,85,11.50796,29.8,14.7,5.201,88.7071991,10.4
Azerbaijan,AZE,66.868,4229.910649,10093121,5.85,39.81,2.236277062,66,24.64286,26.6,6,7.24,36.38547134,3.97
Burundi,BDI,61.566,210.0081399,12617036,10.71837234,20.14390373,6.542876080391305,41,27.99587,37.5,64.9,1.03,5.223710537,12.12
Belgium,BEL,80.69512195,45906.28758,11538604,11.19751263,77.90409851,6.542876080391305,86,11.25612,26,12.7,5.545,79.49960327,13.93
Benin,BEN,60.088,1197.501364,13070169,2.46970391,11.17483139,6.542876080391305,38,31.51453,34.4,38.5,1.685,10.80247974,12.71
Burkina Faso,BFA,59.731,825.2370388,21478690,6.50193262,43.45897293,6.542876080391305,40,40.74491,37.4,43.2,5.348,7.683710098,14.38
Bangladesh,BGD,71.968,2248.850788,166298024,2.27063942,18.04669762,6.542876080391305,52,45.98906,33.4,18.7,4.593,22.5388546,3.85
